"Notes"	"Age"	"Age Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Projected Populations
	"95 years"	"95"	"Male"	"M"	"Black or African American"	"2054-5"	2855
	"95 years"	"95"	"Male"	"M"	"White"	"2106-3"	35106
	"96 years"	"96"	"Female"	"F"	"Black or African American"	"2054-5"	7165
	"96 years"	"96"	"Female"	"F"	"White"	"2106-3"	75231
	"96 years"	"96"	"Male"	"M"	"Black or African American"	"2054-5"	2033
	"96 years"	"96"	"Male"	"M"	"White"	"2106-3"	25582
	"97 years"	"97"	"Female"	"F"	"Black or African American"	"2054-5"	5327
	"97 years"	"97"	"Female"	"F"	"White"	"2106-3"	52757
	"97 years"	"97"	"Male"	"M"	"Black or African American"	"2054-5"	1459
	"97 years"	"97"	"Male"	"M"	"White"	"2106-3"	16585
	"98 years"	"98"	"Female"	"F"	"Black or African American"	"2054-5"	4093
	"98 years"	"98"	"Female"	"F"	"White"	"2106-3"	38321
	"98 years"	"98"	"Male"	"M"	"Black or African American"	"2054-5"	1026
	"98 years"	"98"	"Male"	"M"	"White"	"2106-3"	10847
	"99 years"	"99"	"Female"	"F"	"Black or African American"	"2054-5"	3117
	"99 years"	"99"	"Female"	"F"	"White"	"2106-3"	26849
	"99 years"	"99"	"Male"	"M"	"Black or African American"	"2054-5"	758
	"99 years"	"99"	"Male"	"M"	"White"	"2106-3"	7005
	"100+ years"	"100"	"Female"	"F"	"Black or African American"	"2054-5"	6728
	"100+ years"	"100"	"Female"	"F"	"White"	"2106-3"	44439
	"100+ years"	"100"	"Male"	"M"	"Black or African American"	"2054-5"	1433
	"100+ years"	"100"	"Male"	"M"	"White"	"2106-3"	9431
